Cell Phenotype,,Cell Phenotype,0,1,Topic attribution,FCS file,Condition
N°1,479255,N°1,10.01367,13.731374,1,2508.FCS,aml
N°1,98618,N°1,10.060214,15.772029,1,1532.FCS,normal
N°1,4502,N°1,11.747183,15.61398,1,1572.FCS,normal
N°1,227776,N°1,12.210153,14.786274,1,2476.FCS,normal
N°1,375551,N°1,9.775739,15.428481,1,0924.FCS,aml
N°1,266131,N°1,9.957219,16.809732,1,0428.FCS,normal
N°1,74208,N°1,9.376624,10.913644,1,1788.FCS,normal
N°1,378655,N°1,8.020573,11.064622,1,0932.FCS,aml
N°1,29876,N°1,9.916393,10.638968,1,0876.FCS,normal
N°1,102320,N°1,7.1177697,12.571961,1,1532.FCS,normal
N°1,221349,N°1,12.701418,14.524145,1,0028.FCS,normal
N°1,131248,N°1,10.561903,16.432558,1,1276.FCS,normal
N°1,280663,N°1,10.615742,14.138884,1,1660.FCS,normal
N°1,262488,N°1,8.17912,18.034466,1,0716.FCS,normal
N°1,99384,N°1,8.077683,15.573977,1,1532.FCS,normal
N°1,246819,N°1,7.4107933,13.697867,1,0980.FCS,normal
N°1,8975,N°1,7.9353566,12.041088,1,0316.FCS,normal
N°1,3984,N°1,12.248806,14.681182,1,1572.FCS,normal
N°1,469450,N°1,8.399844,10.918783,1,2276.FCS,aml
N°1,13314,N°1,8.453642,17.097057,1,0316.FCS,normal
N°1,25544,N°1,8.613649,11.788614,1,0724.FCS,normal
N°1,225592,N°1,6.7444253,13.17128,1,0028.FCS,normal
N°1,233783,N°1,7.698078,13.312453,1,1036.FCS,normal
N°1,105995,N°1,10.910399,14.553018,1,1644.FCS,normal
N°1,372577,N°1,9.81642,15.766833,1,0924.FCS,aml
N°1,119402,N°1,6.3852835,13.816099,1,0060.FCS,normal
N°1,160186,N°1,11.387163,13.34316,1,1108.FCS,normal
N°1,30537,N°1,7.2460723,13.992346,1,0876.FCS,normal
N°1,155099,N°1,6.766662,13.968125,1,2420.FCS,normal
N°1,248602,N°1,10.124059,11.003371,1,0980.FCS,normal
N°1,147621,N°1,8.348232,11.208586,1,2684.FCS,normal
N°1,113770,N°1,9.228388,9.850852,1,0396.FCS,normal
N°1,496728,N°1,7.3109426,14.997481,1,2748.FCS,aml
N°1,110299,N°1,11.406837,13.398297,1,1644.FCS,normal
N°1,14862,N°1,6.801727,13.130852,1,1508.FCS,normal
N°1,1022,N°1,10.533216,11.041933,1,1572.FCS,normal
N°1,115044,N°1,8.096421,15.413555,1,0396.FCS,normal
N°1,203930,N°1,8.887643,15.79689,1,2556.FCS,normal
N°1,373044,N°1,7.7929406,14.281457,1,0924.FCS,aml
N°1,10292,N°1,9.249866,17.485373,1,0316.FCS,normal
N°1,495025,N°1,9.338953,14.890958,1,2748.FCS,aml
N°1,6561,N°1,9.72112,11.094861,1,1572.FCS,normal
N°1,176582,N°1,11.257576,13.51946,1,2756.FCS,normal
N°1,299277,N°1,7.3737783,12.363678,1,0036.FCS,aml
N°1,74966,N°1,8.721178,11.068614,1,1788.FCS,normal
N°1,18701,N°1,7.996358,13.479119,1,1508.FCS,normal
N°1,20320,N°1,7.3507576,12.986092,1,0724.FCS,normal
N°1,249329,N°1,7.076287,14.697324,1,0980.FCS,normal
N°1,170943,N°1,7.8928633,14.002322,1,0692.FCS,normal
N°1,94815,N°1,9.030886,15.517206,1,1492.FCS,normal
N°1,130311,N°1,8.016595,12.173021,1,1276.FCS,normal
N°1,71113,N°1,9.893427,10.602777,1,1860.FCS,normal
N°1,58367,N°1,8.440031,15.850869,1,0588.FCS,normal
N°1,259180,N°1,8.130003,12.535816,1,0716.FCS,normal
N°1,257985,N°1,9.228878,17.857697,1,0716.FCS,normal
N°1,52120,N°1,8.427183,16.096458,1,0100.FCS,normal
N°1,257931,N°1,9.522805,15.859129,1,0716.FCS,normal
N°1,72687,N°1,8.814496,9.839503,1,1860.FCS,normal
N°1,139871,N°1,7.3441787,13.276096,1,2548.FCS,normal
N°1,14200,N°1,8.15534,10.203224,1,1508.FCS,normal
N°1,470161,N°1,9.81004,13.713966,1,2276.FCS,aml
N°1,430014,N°1,8.292115,11.101356,1,1748.FCS,aml
N°1,376948,N°1,8.229454,15.962571,1,0924.FCS,aml
N°1,138312,N°1,10.175675,13.527541,1,2548.FCS,normal
N°1,287462,N°1,7.4611425,13.85478,1,2772.FCS,normal
N°1,103866,N°1,10.081018,15.261137,1,1644.FCS,normal
N°1,267525,N°1,9.154604,17.21806,1,0428.FCS,normal
N°1,246398,N°1,7.2236514,14.418584,1,0980.FCS,normal
N°1,94930,N°1,7.985371,11.617497,1,1492.FCS,normal
N°1,207966,N°1,7.383983,14.441028,1,2556.FCS,normal
N°1,151755,N°1,8.356512,14.264594,1,2420.FCS,normal
N°1,8372,N°1,7.8019547,12.91878,1,0316.FCS,normal
N°1,20503,N°1,11.469689,14.43001,1,0724.FCS,normal
N°1,140028,N°1,10.892362,13.797006,1,2548.FCS,normal
N°1,117604,N°1,8.276692,16.612196,1,0396.FCS,normal
N°1,5310,N°1,8.662884,12.581692,1,1572.FCS,normal
N°1,76506,N°1,11.758291,13.185622,1,1628.FCS,normal
N°1,260126,N°1,10.402505,12.159122,1,0716.FCS,normal
N°1,85867,N°1,8.59573,11.890622,1,0564.FCS,normal
N°1,367861,N°1,11.667977,13.629149,1,0836.FCS,aml
N°1,240034,N°1,10.56209,16.4688,1,2020.FCS,normal
N°1,67053,N°1,11.302871,12.806244,1,1860.FCS,normal
N°1,271049,N°1,7.9845057,15.203158,1,0420.FCS,normal
N°1,34235,N°1,9.339937,15.829147,1,2396.FCS,normal
N°1,26712,N°1,7.828726,13.943349,1,0724.FCS,normal
N°1,868,N°1,9.189361,17.752192,1,1572.FCS,normal
N°1,219091,N°1,9.430373,17.141922,1,1052.FCS,normal
N°1,151838,N°1,9.813342,14.62301,1,2420.FCS,normal
N°1,190000,N°1,8.84319,13.104969,1,1260.FCS,normal
N°1,181275,N°1,8.105267,11.792153,1,2756.FCS,normal
N°1,75786,N°1,9.653118,14.128636,1,1788.FCS,normal
N°1,162106,N°1,10.929974,12.894947,1,2172.FCS,normal
N°1,238039,N°1,8.857026,11.967861,1,1036.FCS,normal
N°1,148516,N°1,11.384424,13.361494,1,2684.FCS,normal
N°1,5281,N°1,6.584807,13.310657,1,1572.FCS,normal
N°1,141151,N°1,7.4923525,15.077502,1,2548.FCS,normal
N°1,445946,N°1,9.113184,11.7586565,1,1884.FCS,aml
N°1,141246,N°1,8.588323,12.0686,1,2548.FCS,normal
N°1,137491,N°1,11.336763,12.502534,1,2548.FCS,normal
N°1,141340,N°1,7.552172,15.164974,1,2548.FCS,normal
N°1,53029,N°1,8.307883,16.859547,1,0100.FCS,normal
N°1,104367,N°1,8.531376,11.057631,1,1644.FCS,normal
N°1,64084,N°1,10.693268,11.223271,1,0764.FCS,normal
N°1,127578,N°1,8.196071,16.618666,1,1452.FCS,normal
N°1,79491,N°1,8.815755,16.897532,1,1628.FCS,normal
N°1,127493,N°1,8.243906,16.11543,1,1452.FCS,normal
N°1,233468,N°1,8.178414,10.521598,1,1036.FCS,normal
N°1,54142,N°1,10.183826,10.416548,1,0588.FCS,normal
N°1,236513,N°1,9.982232,15.077655,1,1036.FCS,normal
N°1,227111,N°1,11.073356,15.551055,1,0028.FCS,normal
N°1,317448,N°1,7.2496247,13.402253,1,0260.FCS,aml
N°1,290480,N°1,10.604155,14.364505,1,2772.FCS,normal
N°1,289414,N°1,6.527738,13.456822,1,2772.FCS,normal
N°1,240614,N°1,6.954442,13.435615,1,2020.FCS,normal
N°1,14006,N°1,11.600713,15.640797,1,1508.FCS,normal
N°1,376815,N°1,10.146637,15.677446,1,0924.FCS,aml
N°1,10984,N°1,8.739249,17.038319,1,0316.FCS,normal
N°1,14545,N°1,7.8238316,12.171252,1,1508.FCS,normal
N°1,285658,N°1,7.79579,11.884031,1,1660.FCS,normal
N°1,25302,N°1,7.61816,14.945143,1,0724.FCS,normal
N°1,131445,N°1,8.941554,16.052412,1,1276.FCS,normal
N°1,234914,N°1,8.33539,13.127017,1,1036.FCS,normal
N°1,187168,N°1,9.243042,17.04032,1,1260.FCS,normal
N°1,93458,N°1,8.549647,12.432215,1,1492.FCS,normal
N°1,82069,N°1,8.938616,16.674519,1,0564.FCS,normal
N°1,231016,N°1,9.322463,17.468288,1,2476.FCS,normal
N°1,18717,N°1,10.18402,17.62236,1,1508.FCS,normal
N°1,152835,N°1,7.418729,12.858614,1,2420.FCS,normal
N°1,232918,N°1,8.712506,12.892497,1,1036.FCS,normal
N°1,345365,N°1,10.240759,12.926593,1,0700.FCS,aml
N°1,134850,N°1,8.096807,12.075053,1,1276.FCS,normal
N°1,51645,N°1,8.290843,12.771659,1,0100.FCS,normal
N°1,169489,N°1,8.078248,11.135782,1,0692.FCS,normal
N°1,84027,N°1,8.684884,16.457073,1,0564.FCS,normal
N°1,284884,N°1,9.267537,11.905847,1,1660.FCS,normal
N°1,345457,N°1,9.309712,14.756277,1,0700.FCS,aml
N°1,138713,N°1,9.004189,13.6481085,1,2548.FCS,normal
N°1,198888,N°1,11.1241665,13.060533,1,2180.FCS,normal
N°1,77570,N°1,7.181639,12.486674,1,1628.FCS,normal
N°1,93586,N°1,8.150244,11.757554,1,1492.FCS,normal
N°1,171448,N°1,9.778809,15.49887,1,0692.FCS,normal
N°1,115030,N°1,8.618774,12.63264,1,0396.FCS,normal
N°1,72477,N°1,10.14959,14.003634,1,1860.FCS,normal
N°1,142296,N°1,10.870822,13.847548,1,2548.FCS,normal
N°1,255581,N°1,10.527622,11.397454,1,0780.FCS,normal
N°1,24597,N°1,10.771391,14.492066,1,0724.FCS,normal
N°1,180670,N°1,9.193021,15.777955,1,2756.FCS,normal
N°1,283350,N°1,9.66336,13.026318,1,1660.FCS,normal
N°1,49114,N°1,7.7003813,14.135579,1,0100.FCS,normal
N°1,90029,N°1,8.986008,17.197397,1,1340.FCS,normal
N°1,154294,N°1,8.412276,12.391601,1,2420.FCS,normal
N°1,367815,N°1,11.641552,13.124143,1,0836.FCS,aml
N°1,105200,N°1,9.379736,16.540956,1,1644.FCS,normal
N°1,481783,N°1,11.726304,13.800677,1,2508.FCS,aml
N°1,187711,N°1,7.4128156,12.121267,1,1260.FCS,normal
N°1,34543,N°1,10.021821,14.727358,1,2396.FCS,normal
N°1,269855,N°1,10.583003,12.195044,1,0420.FCS,normal
N°1,146615,N°1,10.0564375,15.425334,1,2684.FCS,normal
N°1,469382,N°1,6.7077174,13.357691,1,2276.FCS,aml
N°1,372316,N°1,9.110119,16.311638,1,0924.FCS,aml
N°1,1101,N°1,10.267661,11.036727,1,1572.FCS,normal
N°1,128864,N°1,7.155554,14.91535,1,1452.FCS,normal
N°1,133267,N°1,11.466954,15.610932,1,1276.FCS,normal
N°1,494666,N°1,11.898519,15.596963,1,2716.FCS,aml
N°1,138088,N°1,10.995558,13.40539,1,2548.FCS,normal
N°1,297488,N°1,9.688086,17.946268,1,1700.FCS,normal
N°1,496855,N°1,10.445352,15.8413925,1,2748.FCS,aml
N°1,288073,N°1,9.6362915,13.81125,1,2772.FCS,normal
N°1,294465,N°1,7.9322114,12.242752,1,1700.FCS,normal
N°1,321142,N°1,10.584178,13.781371,1,0260.FCS,aml
N°1,482220,N°1,8.800957,11.490694,1,2508.FCS,aml
N°1,248939,N°1,7.872556,15.424764,1,0980.FCS,normal
N°1,375198,N°1,7.1157217,14.047163,1,0924.FCS,aml
N°1,268690,N°1,8.729986,17.085081,1,0428.FCS,normal
N°1,133504,N°1,8.706364,13.49054,1,1276.FCS,normal
N°1,109018,N°1,8.944178,11.081141,1,1644.FCS,normal
N°1,95621,N°1,11.087683,14.797358,1,1492.FCS,normal
N°1,237822,N°1,9.242117,16.069967,1,1036.FCS,normal
N°1,30399,N°1,7.744188,14.88382,1,0876.FCS,normal
N°1,469030,N°1,9.292162,12.288519,1,2276.FCS,aml
N°1,8936,N°1,10.855148,16.208153,1,0316.FCS,normal
N°1,358057,N°1,10.8332815,12.669176,1,0804.FCS,aml
N°1,372967,N°1,10.6271925,14.283555,1,0924.FCS,aml
N°1,190308,N°1,11.295992,16.403479,1,1260.FCS,normal
N°1,448686,N°1,9.2318125,14.564606,1,1908.FCS,aml
