,DC01,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC32,DC33,DC36,DC40,DC47,DC49,DC51,DC53,DC54,DC55,DC56,DC58,DC59,DC61,DC63,DC64,DC65,DC68,DC72,DC73,DC76,DC77,DC81,DC82,DC83,DC84,DC85,DC88,DC92
DC01,10.0,7.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,5.0,1.0,1.0,3.0,3.0,4.0,1.0,0.0,3.0,0.0,2.0,7.0,5.0,1.0,0.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
DC02,7.0,10.0,1.0,3.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,0.0,4.0,0.0,3.0,6.0,4.0,2.0,0.0,3.0,0.0,4.0,0.0,4.0,3.0,3.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
DC03,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC04,2.0,3.0,0.0,10.0,5.0,1.0,0.0,1.0,2.0,0.0,3.0,6.0,1.0,1.0,2.0,1.0,4.0,2.0,0.0,4.0,0.0,3.0,3.0,0.0,5.0,0.0,1.0,3.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,1.0,6.0,2.0,0.0,0.0,3.0
DC05,1.0,2.0,0.0,5.0,10.0,1.0,0.0,1.0,7.0,0.0,6.0,2.0,3.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
DC06,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,2.0,6.0,2.0,0.0,4.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DC07,3.0,2.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,3.0,5.0,5.0,1.0,4.0,0.0,6.0,4.0,0.0,1.0,1.0,5.0,0.0,3.0,3.0,0.0,4.0,5.0,4.0,2.0
DC08,3.0,5.0,0.0,1.0,1.0,0.0,6.0,10.0,1.0,0.0,1.0,2.0,2.0,2.0,6.0,3.0,1.0,1.0,0.0,2.0,0.0,4.0,3.0,4.0,1.0,0.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,5.0,5.0,2.0,4.0,0.0,5.0,4.0,0.0,3.0,2.0,5.0,1.0,2.0,5.0,1.0,4.0,5.0,4.0,2.0
DC09,0.0,0.0,0.0,2.0,7.0,2.0,0.0,1.0,10.0,1.0,6.0,0.0,6.0,7.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
DC10,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC11,2.0,2.0,0.0,3.0,6.0,2.0,2.0,1.0,6.0,0.0,10.0,0.0,6.0,5.0,2.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
DC12,5.0,3.0,0.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,5.0,0.0,3.0,6.0,1.0,2.0,0.0,2.0,1.0,6.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,4.0
DC13,1.0,1.0,0.0,1.0,3.0,4.0,1.0,2.0,6.0,3.0,6.0,0.0,10.0,9.0,1.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
DC14,1.0,1.0,0.0,1.0,4.0,4.0,1.0,2.0,7.0,3.0,5.0,0.0,9.0,10.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
DC15,3.0,3.0,0.0,2.0,3.0,0.0,6.0,6.0,1.0,0.0,2.0,3.0,1.0,1.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,3.0,4.0,4.0,5.0,5.0,1.0,5.0,0.0,5.0,4.0,0.0,1.0,1.0,5.0,1.0,3.0,2.0,3.0,5.0,5.0,4.0,2.0
DC16,3.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,4.0,0.0,5.0,3.0,4.0,0.0,0.0,4.0,0.0,3.0,2.0,4.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0
DC17,4.0,3.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,0.0,3.0,10.0,1.0,0.0,8.0,0.0,6.0,6.0,1.0,0.0,0.0,5.0,1.0,8.0,2.0,4.0,5.0,4.0,5.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,6.0,3.0,1.0,3.0,1.0,4.0,0.0,3.0,1.0,1.0,7.0
DC18,1.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,5.0,3.0,7.0,0.0,5.0,4.0,2.0,0.0,1.0,10.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
DC19,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC20,3.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,10.0,0.0,7.0,5.0,1.0,0.0,0.0,6.0,0.0,8.0,2.0,5.0,6.0,5.0,6.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,8.0,4.0,1.0,2.0,1.0,5.0,0.0,3.0,1.0,1.0,6.0
DC21,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,8.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC22,2.0,3.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,7.0,0.0,10.0,4.0,2.0,0.0,0.0,7.0,0.0,6.0,3.0,8.0,7.0,6.0,4.0,3.0,1.0,2.0,3.0,3.0,6.0,6.0,5.0,6.0,1.0,4.0,3.0,0.0,7.0,5.0,4.0,2.0,2.0,6.0,0.0,6.0,4.0,4.0,7.0
DC23,7.0,6.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,5.0,0.0,4.0,10.0,3.0,1.0,0.0,3.0,0.0,6.0,1.0,3.0,3.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0
